,transcript,Wormbase_id,type
0,Y110A7A.10.1,WBGene00000001,Coding transcript
1,F27C8.1.1,WBGene00000002,Coding transcript
2,F07C3.7.1,WBGene00000003,Coding transcript
3,F52H2.2b.1,WBGene00000004,Coding transcript
4,F52H2.2a.1,WBGene00000004,Coding transcript
5,T13A10.10b,WBGene00000005,non coding transcript
6,T13A10.10a.1,WBGene00000005,Coding transcript
7,C55C2.5c,WBGene00000006,non coding transcript
8,C55C2.5b,WBGene00000006,non coding transcript
9,C55C2.5d,WBGene00000006,non coding transcript
10,C55C2.5a.1,WBGene00000006,Coding transcript
11,T11F9.4b.1,WBGene00000007,Coding transcript
12,T11F9.4a.1,WBGene00000007,Coding transcript
13,F54D12.3.1,WBGene00000008,Coding transcript
14,F28F9.4.1,WBGene00000009,Coding transcript
15,Y53H1C.1b.1,WBGene00000010,Coding transcript
16,Y53H1C.1a.1,WBGene00000010,Coding transcript
17,nan,WBGene00000011,nan
18,C50F2.9.1,WBGene00000012,Coding transcript
19,C50F2.10.1,WBGene00000013,Coding transcript
20,F54B8.5.1,WBGene00000014,Coding transcript
21,Y38H6C.22.1,WBGene00000015,Coding transcript
22,T22H6.5.1,WBGene00000016,Coding transcript
23,T22H6.7.1,WBGene00000017,Coding transcript
24,M79.1b.1,WBGene00000018,Coding transcript
25,M79.1f.1,WBGene00000018,Coding transcript
26,M79.1h.1,WBGene00000018,Coding transcript
27,M79.1d.1,WBGene00000018,Coding transcript
28,M79.1e.1,WBGene00000018,Coding transcript
29,M79.1a.1,WBGene00000018,Coding transcript
30,M79.1g.1,WBGene00000018,Coding transcript
31,M79.1c.1,WBGene00000018,Coding transcript
32,C24F3.5b.1,WBGene00000019,Coding transcript
33,C24F3.5a.1,WBGene00000019,Coding transcript
34,F12B6.1b.1,WBGene00000020,Coding transcript
35,F12B6.1a.1,WBGene00000020,Coding transcript
36,F55G11.9,WBGene00000021,Pseudogene
37,Y39D8C.1.1,WBGene00000022,Coding transcript
38,Y53C10A.9.1,WBGene00000023,Coding transcript
39,AC3.3.1,WBGene00000024,Coding transcript
40,F19G12.7.1,WBGene00000025,Coding transcript
41,F31A3.1,WBGene00000026,Pseudogene
42,Y5H2A.3.1,WBGene00000027,Coding transcript
43,Y105C5A.4.1,WBGene00000028,Coding transcript
44,C03A7.7.1,WBGene00000029,Coding transcript
45,C03A7.8.1,WBGene00000030,Coding transcript
46,C03A7.14.1,WBGene00000031,Coding transcript
47,R09F10.2.1,WBGene00000032,Coding transcript
48,F35A5.3.1,WBGene00000033,Coding transcript
49,T01D1.6.1,WBGene00000034,Coding transcript
50,W09B12.1.1,WBGene00000035,Coding transcript
51,Y44E3A.2.1,WBGene00000036,Coding transcript
52,Y44E3A.2.2,WBGene00000036,Coding transcript
53,Y48B6A.8.1,WBGene00000037,Coding transcript
54,Y48B6A.7.1,WBGene00000038,Coding transcript
55,C42D8.5.1,WBGene00000039,Coding transcript
56,ZK455.1.1,WBGene00000040,Coding transcript
57,F54H12.1a.1,WBGene00000041,Coding transcript
58,F54H12.1c.1,WBGene00000041,Coding transcript
59,F54H12.1c.2,WBGene00000041,Coding transcript
60,F54H12.1c.3,WBGene00000041,Coding transcript
61,K11G12.2.1,WBGene00000042,Coding transcript
62,K11G12.7.1,WBGene00000043,Coding transcript
63,K03F8.2.1,WBGene00000044,Coding transcript
64,ZK973.5.1,WBGene00000045,Coding transcript
65,T09A5.3.1,WBGene00000046,Coding transcript
66,ZC504.2.1,WBGene00000047,Coding transcript
67,ZC504.2.2,WBGene00000047,Coding transcript
68,C40C9.2.1,WBGene00000048,Coding transcript
69,R02E12.8.1,WBGene00000049,Coding transcript
70,D2092.3.1,WBGene00000050,Coding transcript
71,R01E6.4a.1,WBGene00000051,Coding transcript
72,R01E6.4b.1,WBGene00000051,Coding transcript
73,nan,WBGene00000052,nan
74,T05C12.2.1,WBGene00000053,Coding transcript
75,F25G6.4.1,WBGene00000054,Coding transcript
76,F25G6.3.1,WBGene00000055,Coding transcript
77,F53E10.2a,WBGene00000056,non coding transcript
78,F53E10.2e,WBGene00000056,non coding transcript
79,F53E10.2d,WBGene00000056,non coding transcript
80,F53E10.2f,WBGene00000056,non coding transcript
81,F53E10.2c,WBGene00000056,non coding transcript
82,F53E10.2g.1,WBGene00000056,Coding transcript
83,F53E10.2b.1,WBGene00000056,Coding transcript
84,F53E10.2h.1,WBGene00000056,Coding transcript
85,F53E10.2i.1,WBGene00000056,Coding transcript
86,F28F8.1.1,WBGene00000057,Coding transcript
87,C31H5.3a.1,WBGene00000058,Coding transcript
88,C31H5.3b.1,WBGene00000058,Coding transcript
89,R06A4.10b.1,WBGene00000059,Coding transcript
90,R06A4.10a.1,WBGene00000059,Coding transcript
91,R06A4.10c.1,WBGene00000059,Coding transcript
92,F27B3.2c.1,WBGene00000060,Coding transcript
93,F27B3.2d.1,WBGene00000060,Coding transcript
94,F27B3.2a.1,WBGene00000060,Coding transcript
95,F27B3.2b.1,WBGene00000060,Coding transcript
96,F48E3.7.1,WBGene00000061,Coding transcript
97,F59B1.9a.1,WBGene00000062,Coding transcript
98,F59B1.9b.1,WBGene00000062,Coding transcript
99,T04C12.6.1,WBGene00000063,Coding transcript
100,T04C12.5.1,WBGene00000064,Coding transcript
101,T04C12.4.1,WBGene00000065,Coding transcript
102,T04C12.4.2,WBGene00000065,Coding transcript
103,T04C12.4.3,WBGene00000065,Coding transcript
104,M03F4.2b.1,WBGene00000066,Coding transcript
105,M03F4.2a.1,WBGene00000066,Coding transcript
106,T25C8.2.1,WBGene00000067,Coding transcript
107,F17C8.1.1,WBGene00000068,Coding transcript
108,C10F3.3.1,WBGene00000069,Coding transcript
109,C44F1.5.1,WBGene00000070,Coding transcript
110,T01C2.1.1,WBGene00000071,Coding transcript
111,F39C12.2c.1,WBGene00000072,Coding transcript
112,F39C12.2b.1,WBGene00000072,Coding transcript
113,F39C12.2d.1,WBGene00000072,Coding transcript
114,F39C12.2e.1,WBGene00000072,Coding transcript
115,F39C12.2a.1,WBGene00000072,Coding transcript
116,F57F5.4b.1,WBGene00000073,Coding transcript
117,F57F5.4a.1,WBGene00000073,Coding transcript
118,C04A11.4a.1,WBGene00000074,Coding transcript
119,C04A11.4b.1,WBGene00000074,Coding transcript
120,ZK154.7.1,WBGene00000075,Coding transcript
121,nan,WBGene00000076,nan
122,nan,WBGene00000077,nan
123,nan,WBGene00000078,nan
124,H15N14.1g.1,WBGene00000079,Coding transcript
125,H15N14.1e.1,WBGene00000079,Coding transcript
126,H15N14.1c.1,WBGene00000079,Coding transcript
127,H15N14.1d.1,WBGene00000079,Coding transcript
128,H15N14.1f.1,WBGene00000079,Coding transcript
129,T20H4.4.1,WBGene00000080,Coding transcript
130,Y50D7A.7.1,WBGene00000081,Coding transcript
131,C02B4.1b.1,WBGene00000082,Coding transcript
132,C02B4.1a.1,WBGene00000082,Coding transcript
133,F08C6.1c.1,WBGene00000083,Coding transcript
134,F08C6.1a.1,WBGene00000083,Coding transcript
135,F08C6.1b.1,WBGene00000083,Coding transcript
136,D2030.10a.1,WBGene00000084,Coding transcript
137,D2030.10b.1,WBGene00000084,Coding transcript
138,T14B1.2.1,WBGene00000085,Coding transcript
139,C02H7.3a.1,WBGene00000086,Coding transcript
140,C02H7.3b.1,WBGene00000086,Coding transcript
141,nan,WBGene00000087,nan
142,F32A7.6.1,WBGene00000088,Coding transcript
143,Y87G2A.4.1,WBGene00000089,Coding transcript
144,B0334.8b.1,WBGene00000090,Coding transcript
145,B0334.8a.1,WBGene00000090,Coding transcript
146,nan,WBGene00000091,nan
147,F32A6.4b,WBGene00000092,non coding transcript
148,F32A6.4c,WBGene00000092,non coding transcript
149,F32A6.4a.1,WBGene00000092,Coding transcript
150,F32A6.4a.2,WBGene00000092,Coding transcript
151,F32A6.4g.1,WBGene00000092,Coding transcript
152,F32A6.4e.1,WBGene00000092,Coding transcript
153,F32A6.4f.1,WBGene00000092,Coding transcript
154,F32A6.4f.2,WBGene00000092,Coding transcript
155,F32A6.4f.3,WBGene00000092,Coding transcript
156,F32A6.4f.4,WBGene00000092,Coding transcript
157,F32A6.4f.5,WBGene00000092,Coding transcript
158,F32A6.4d.1,WBGene00000092,Coding transcript
159,Y62E10A.5b.1,WBGene00000093,Coding transcript
160,Y62E10A.5a.1,WBGene00000093,Coding transcript
161,F09E5.13.1,WBGene00000094,Coding transcript
162,C25A1.11.1,WBGene00000095,Coding transcript
163,C41G7.5a.1,WBGene00000096,Coding transcript
164,C41G7.5b.1,WBGene00000096,Coding transcript
165,F58E10.4.1,WBGene00000097,Coding transcript
166,K07C11.2.1,WBGene00000098,Coding transcript
167,B0207.4.1,WBGene00000099,Coding transcript
168,B0207.4.2,WBGene00000099,Coding transcript
169,C25A11.4k.1,WBGene00000100,Coding transcript
170,C25A11.4d.1,WBGene00000100,Coding transcript
171,C25A11.4g.1,WBGene00000100,Coding transcript
172,C25A11.4j.1,WBGene00000100,Coding transcript
173,C25A11.4a.1,WBGene00000100,Coding transcript
174,C25A11.4a.2,WBGene00000100,Coding transcript
175,C25A11.4a.3,WBGene00000100,Coding transcript
176,C25A11.4a.4,WBGene00000100,Coding transcript
177,C25A11.4m.1,WBGene00000100,Coding transcript
178,C25A11.4i.1,WBGene00000100,Coding transcript
179,C25A11.4f.1,WBGene00000100,Coding transcript
180,C25A11.4l.1,WBGene00000100,Coding transcript
181,C25A11.4h.1,WBGene00000100,Coding transcript
182,C25A11.4e.1,WBGene00000100,Coding transcript
183,C25A11.4b.1,WBGene00000100,Coding transcript
184,C25A11.4c.1,WBGene00000100,Coding transcript
185,D1022.7c.1,WBGene00000101,Coding transcript
186,D1022.7a.1,WBGene00000101,Coding transcript
187,D1022.7b.1,WBGene00000101,Coding transcript
188,C12D8.10a.1,WBGene00000102,Coding transcript
189,C12D8.10c.1,WBGene00000102,Coding transcript
190,C12D8.10b.1,WBGene00000102,Coding transcript
191,F28H6.1a.1,WBGene00000103,Coding transcript
192,F28H6.1b.1,WBGene00000103,Coding transcript
193,nan,WBGene00000104,nan
194,F48F7.1a.1,WBGene00000105,Coding transcript
195,F48F7.1a.2,WBGene00000105,Coding transcript
196,F48F7.1a.3,WBGene00000105,Coding transcript
197,F48F7.1b.1,WBGene00000105,Coding transcript
198,T07D3.7a.1,WBGene00000106,Coding transcript
199,T07D3.7b.1,WBGene00000106,Coding transcript
200,F54D8.3b.1,WBGene00000107,Coding transcript
201,F54D8.3b.2,WBGene00000107,Coding transcript
202,F54D8.3a.1,WBGene00000107,Coding transcript
203,K04F1.15.1,WBGene00000108,Coding transcript
204,F36H1.6.1,WBGene00000109,Coding transcript
205,T05H4.13a.1,WBGene00000110,Coding transcript
206,T05H4.13c.1,WBGene00000110,Coding transcript
207,T05H4.13d.1,WBGene00000110,Coding transcript
208,T05H4.13b.1,WBGene00000110,Coding transcript
209,T08B1.3.1,WBGene00000111,Coding transcript
210,F56D12.1d.1,WBGene00000112,Coding transcript
211,F56D12.1b.1,WBGene00000112,Coding transcript
212,F56D12.1c.1,WBGene00000112,Coding transcript
213,F56D12.1a.1,WBGene00000112,Coding transcript
214,F56D12.1a.2,WBGene00000112,Coding transcript
215,F45H10.1b.1,WBGene00000113,Coding transcript
216,F45H10.1a.1,WBGene00000113,Coding transcript
217,F13D12.4b.1,WBGene00000114,Coding transcript
218,F13D12.4a.1,WBGene00000114,Coding transcript
219,F01F1.6.1,WBGene00000115,Coding transcript
220,F01F1.6.2,WBGene00000115,Coding transcript
221,C54D1.4.1,WBGene00000116,Coding transcript
222,F42G9.5b.1,WBGene00000117,Coding transcript
223,F42G9.5b.2,WBGene00000117,Coding transcript
224,F42G9.5a.1,WBGene00000117,Coding transcript
225,Y69F12A.2b.1,WBGene00000118,Coding transcript
226,Y69F12A.2a.1,WBGene00000118,Coding transcript
227,nan,WBGene00000119,nan
228,C01F6.5.1,WBGene00000120,Coding transcript
229,F23B2.6.1,WBGene00000121,Coding transcript
230,M18.7b,WBGene00000122,non coding transcript
231,M18.7a.1,WBGene00000122,Coding transcript
232,F36A4.7.1,WBGene00000123,Coding transcript
233,nan,WBGene00000124,nan
234,nan,WBGene00000125,nan
235,nan,WBGene00000126,nan
236,nan,WBGene00000127,nan
237,nan,WBGene00000128,nan
238,nan,WBGene00000129,nan
239,nan,WBGene00000130,nan
240,nan,WBGene00000131,nan
241,nan,WBGene00000132,nan
242,C05E11.4.1,WBGene00000133,Coding transcript
243,F49E11.3.1,WBGene00000134,Coding transcript
244,M195.3.1,WBGene00000135,Coding transcript
245,C05E11.5.1,WBGene00000136,Coding transcript
246,R13G10.2.1,WBGene00000137,Coding transcript
247,B0019.1.1,WBGene00000138,Coding transcript
248,F25C8.2b.1,WBGene00000139,Coding transcript
249,F25C8.2a.1,WBGene00000139,Coding transcript
250,ZK973.6c.1,WBGene00000140,Coding transcript
251,ZK973.6b.1,WBGene00000140,Coding transcript
252,ZK973.6a.1,WBGene00000140,Coding transcript
253,nan,WBGene00000141,nan
254,C08B6.9.1,WBGene00000142,Coding transcript
255,K06H7.6.1,WBGene00000143,Coding transcript
256,F15H10.3c.1,WBGene00000144,Coding transcript
257,F15H10.3b.1,WBGene00000144,Coding transcript
258,F15H10.3d.1,WBGene00000144,Coding transcript
259,F15H10.3a.1,WBGene00000144,Coding transcript
260,F35G12.9.1,WBGene00000145,Coding transcript
261,F46F3.4c.1,WBGene00000146,Coding transcript
262,F46F3.4d.1,WBGene00000146,Coding transcript
263,F46F3.4a.1,WBGene00000146,Coding transcript
264,F46F3.4b.1,WBGene00000146,Coding transcript
265,VF36H2L.1.1,WBGene00000147,Coding transcript
266,ZC434.6a.1,WBGene00000148,Coding transcript
267,ZC434.6b.1,WBGene00000148,Coding transcript
268,C42D8.8a.1,WBGene00000149,Coding transcript
269,C42D8.8b.1,WBGene00000149,Coding transcript
270,F55A12.7.1,WBGene00000150,Coding transcript
271,T05H10.2.1,WBGene00000151,Coding transcript
272,nan,WBGene00000152,nan
273,nan,WBGene00000153,nan
274,nan,WBGene00000154,nan
275,W03G9.4.1,WBGene00000155,Coding transcript
276,K04G2.8a.1,WBGene00000156,Coding transcript
277,K04G2.8b.1,WBGene00000156,Coding transcript
278,K04G2.8c.1,WBGene00000156,Coding transcript
279,F02E8.3.1,WBGene00000157,Coding transcript
280,Y105E8A.9.1,WBGene00000158,Coding transcript
281,F29G9.3.1,WBGene00000159,Coding transcript
282,Y71H2B.10.1,WBGene00000160,Coding transcript
283,T20B5.1.1,WBGene00000161,Coding transcript
284,W09G10.4b.1,WBGene00000162,Coding transcript
285,W09G10.4a.1,WBGene00000162,Coding transcript
286,R11A5.1b.1,WBGene00000163,Coding transcript
287,R11A5.1a.1,WBGene00000163,Coding transcript
288,F53H8.1.1,WBGene00000164,Coding transcript
289,Y48G8AL.14.1,WBGene00000165,Coding transcript
290,W04G3.4.1,WBGene00000166,Coding transcript
291,nan,WBGene00000167,nan
292,K08D9.3d,WBGene00000168,non coding transcript
293,K08D9.3c,WBGene00000168,non coding transcript
